Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
1781,228782,0.03,-0.08,0.21,0,0,0,-0.18,0.02,-0.26,0.13,0.11,0.02
1784,228783,0.09,0.12,0.19,0,0,0,-0.18,-0.08,-0.11,-0.32,0.07,0.02
1787,228784,0.01,0,0,0,0,0,0.03,0.06,0.13,0.17,0.09,0
1789,228785,0.06,-0.08,0.56,0,0,0,-0.26,0.19,0.03,0.02,0.07,-0.1
1792,228786,0.19,0.02,0.17,0,0,0,-0.28,-0.07,0,-0.01,0.07,-0.25
1795,228787,0.03,-0.2,0.14,0,0,0,-0.36,0.13,-0.05,0.19,-0.03,-0.25
1798,228788,-0.12,-0.17,-0.05,0,0,0,-0.38,0.12,-0.04,0.25,0.08,-0.13
1800,228789,0.28,-0.13,-0.06,0,0,0,-0.17,0.15,0.07,0.04,0.23,-0.23
1850,228790,0.03,-0.27,-0.48,0,0,0,0.17,0.38,-0.07,-0.01,-0.4,-0.25
1852,228791,0.21,0,0.1,0,0,0,0.4,0.12,0.4,-0.03,-0.34,-0.12
1855,228792,-0.42,-0.04,-0.18,0,0,0,0.07,0.14,-0.34,-0.65,-0.19,-0.23
1858,228793,-0.04,0.18,-0.09,0,0,0,0.59,0,0.48,-0.22,0.09,0.65
1860,228794,-0.03,-0.27,-0.3,0,0,0,-0.33,-0.18,-0.51,-0.1,-0.39,-0.38
1862,228795,0.08,0.11,0.39,0,0,0,0.26,0.37,1.3,-0.52,-0.17,-0.57
1865,228796,-0.68,0.23,-0.32,0,0,0,-0.24,-0.33,-0.68,0.08,0.4,0.21
1868,228797,-0.53,-0.46,0.25,0,0,0,-0.28,0.2,0.22,0.19,0.18,0.3
1870,228798,0.01,0.16,-0.44,0,0,0,0.87,0.34,0.38,-0.37,0.56,-0.35
1873,228799,-0.44,0.11,0.16,0,0,0,-0.51,-0.32,-0.68,-0.7,-0.1,-0.21
1924,228800,-0.1,0.12,0.18,0,0,0,-0.38,-0.16,-0.07,0.17,-0.05,0.14
1925,228801,-0.08,0.16,0,0,0,0,-0.14,-0.34,0.24,-0.14,-0.33,0.35
1928,228802,0.56,0.16,0.01,0,0,0,0.4,0.05,0.13,0.13,-0.21,-0.05
1930,228803,-0.54,0.13,0.21,0,0,0,0.28,-0.63,0.56,-0.46,-0.03,0.32
1933,228804,-0.04,0.28,-0.22,0,0,0,0.03,-0.33,-0.53,0.11,-0.3,-0.02
1936,228805,-0.05,0.05,-0.01,0,0,0,0.21,-0.14,0.15,-0.13,-0.33,0.06
1938,228806,-0.04,0.18,0.11,0,0,0,0.26,0,-0.24,0.73,-0.38,-0.07
1941,228807,0.14,0.09,-0.15,0,0,0,0.19,-0.38,-0.14,-0.55,-0.15,-0.1
1944,228808,0.03,0.34,-0.03,0,0,0,0.01,-0.09,0.42,-0.31,0.04,0.32
1947,228809,0.18,0.2,-0.19,0,0,0,-0.34,-0.1,0.46,-0.12,-0.47,-0.31
1997,228810,0.5,-0.61,-0.2,0,0,0,0.26,0.41,-0.14,-0.32,-0.48,-0.36
1998,228811,-0.42,-0.37,0.04,0,0,0,-0.43,-0.27,-0.58,-0.1,-0.24,0.04
2001,228812,0.23,-0.18,-0.3,0,0,0,0.06,0.13,0.03,0.56,-0.46,-0.53
2004,228813,0.94,-0.05,0.29,0,0,0,-0.19,0.03,-0.45,-0.34,0.21,-0.43
