Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
1528,320967,0.16,-0.04,-0.04,0,0,0,-0.05,0.15,0.25,-0.17,-0.13,0.16
1578,320968,-0.22,0,-0.29,0,0,0,0.14,-0.17,-0.07,0.26,0.05,-0.09
1580,320969,-0.43,0.17,-0.52,0,0,0,0.37,-0.06,-0.34,0.38,0.26,-0.24
1583,320970,0.3,-0.09,-0.29,0,0,0,0.62,0.21,0.03,0.06,0.25,-0.41
1585,320971,0.03,-0.06,-0.66,0,0,0,0,0.05,0.05,-0.2,0.17,-0.08
1588,320972,-0.37,0.19,-0.06,0,0,0,-0.15,-0.07,0.03,0.01,0.12,0.22
1590,320973,0.08,0,0.28,0,0,0,-0.31,0.05,0.3,-0.04,0.15,0.58
1592,320974,0.12,0.09,0.4,0,0,0,-0.27,-0.07,0.13,0.01,0.09,0.5
1596,320975,0.36,-0.24,0.75,0,0,0,-0.37,-0.08,-0.09,-0.94,0.07,-0.06
1598,320976,0.95,0.01,0.03,0,0,0,-0.2,0.14,-0.27,0.1,-0.13,-0.06
1601,320977,-0.1,0.26,-0.56,0,0,0,0.22,-0.33,-0.51,0.58,0.08,-0.63
1650,320978,0.01,0.03,-0.32,0,0,0,0.11,0.1,0.05,-0.41,0.16,0.25
1653,320979,-0.04,0.12,-0.13,0,0,0,0,-0.22,-0.14,0.01,0,0.07
1655,320980,0.18,-0.05,0.17,0,0,0,0.11,0.08,-0.09,0.13,0.11,0.62
1659,320981,0.14,0.05,0.33,0,0,0,0.26,0.21,0,-0.1,0.02,0.22
1661,320982,-0.03,0.01,-0.16,0,0,0,-0.34,0,0.16,-0.28,-0.12,0.24
1663,320983,0.29,0.08,-0.03,0,0,0,-0.23,-0.08,0.11,0.13,-0.11,-0.24
1666,320984,-0.28,-0.22,-0.44,0,0,0,-0.21,-0.21,0.14,-0.16,-0.04,-0.16
1668,320985,0.23,0.08,-0.43,0,0,0,0.2,-0.08,-0.32,0.2,-0.09,-0.31
1672,320986,-0.25,0.09,-0.24,0,0,0,0.22,-0.02,-0.13,-0.33,-0.3,-0.7
